Title,Description,Priority,Estimate,Labels,Parent
"Canvas stage & rendering","Epic: inline SVG, apply, view controls.",High,,"epic,area:canvas",
"Inline SVG injection","Inject markup; strip width/height; preserveAspectRatio; fit to stage.",High,2,"area:canvas,type:feature,milestone:M1","Canvas stage & rendering"
"apply(t) DOM sync","Write transform/opacity/fill/draw/filter per element at t; respect hidden + selection outline.",High,3,"area:canvas,type:feature,milestone:M2","Canvas stage & rendering"
"Click-to-select shape","pointerdown on shape selects layer; selection outline.",High,2,"area:canvas,type:feature,milestone:M1","Canvas stage & rendering"
"Click empty canvas to deselect","Distinguish click vs drag.",Medium,1,"area:canvas,type:feature,milestone:M1","Canvas stage & rendering"
"Zoom (wheel) + pan (drag)","Clamp zoom 0.5-1.5; camera transform.",Medium,3,"area:canvas,type:feature,milestone:M1","Canvas stage & rendering"
"Reset view + zoom % indicator","Shown only when view changed.",Low,2,"area:canvas,type:feature,milestone:M1","Canvas stage & rendering"
"viewBox readout","Display current viewBox.",Low,1,"area:canvas,type:feature,milestone:M1","Canvas stage & rendering"
"Background pattern menu","Grid / Dots / Plain; pattern color adapts to luminance.",Low,2,"area:canvas,type:feature,milestone:M1","Canvas stage & rendering"
"Background color picker + reset","Color input + reset to default.",Low,2,"area:canvas,type:feature,milestone:M1","Canvas stage & rendering"
"Full SVG debug toggle","Render original SVG (no animation) to ease shape selection.",Low,2,"area:canvas,type:feature,milestone:M1","Canvas stage & rendering"
"Layers panel","Epic: shape list + selection + visibility.",Medium,,"epic,area:layers",
"Layer list","Row per top-level shape: tag icon, name, keyframe-presence dot.",High,2,"area:layers,type:feature,milestone:M1","Layers panel"
"Visibility toggle (eye)","Per-layer hide/show; row dims when hidden.",Medium,2,"area:layers,type:feature,milestone:M1","Layers panel"
"Select from layer row","Syncs canvas + inspector selection.",High,1,"area:layers,type:feature,milestone:M1","Layers panel"
"Layer count + file name header","Header metadata.",Low,1,"area:layers,type:feature,milestone:M1","Layers panel"
"Collapse / expand rail","Collapsed vertical rail with count.",Low,2,"area:layers,type:feature,milestone:M1","Layers panel"
"Click panel background to clear selection","Deselect on empty click.",Low,1,"area:layers,type:feature,milestone:M1","Layers panel"
"Inspector panel","Epic: property editing + add/remove.",High,,"epic,area:inspector",
"Inspector header","Selected name; values-at-playhead + time readout.",Medium,1,"area:inspector,type:feature,milestone:M2","Inspector panel"
"Inspector empty state","No-selection prompt.",Medium,1,"area:inspector,type:feature,milestone:M2","Inspector panel"
"Property rows - numeric","Label, value input; change updates value at playhead; per-property format.",High,3,"area:inspector,type:feature,milestone:M2","Inspector panel"
"Property rows - color","Swatch + hex input with validation/normalisation.",Medium,2,"area:inspector,type:feature,milestone:M2","Inspector panel"
"Add-keyframe-at-playhead diamond","Per row; highlights when a key exists at current time.",High,2,"area:inspector,type:feature,milestone:M2","Inspector panel"
"Remove property","x deletes track + clears its selected keys.",Medium,2,"area:inspector,type:feature,milestone:M2","Inspector panel"
"Expandable filter params","Drop-shadow offset X/Y + color sub-fields.",Medium,3,"area:inspector,type:feature,milestone:M4","Inspector panel"
"Add-property menu (grouped)","Transform / Appearance / Filters; inactive props only; all-added state; smart open up/down.",High,3,"area:inspector,type:feature,milestone:M2","Inspector panel"
"Active-property count badge","Count of active props.",Low,1,"area:inspector,type:feature,milestone:M2","Inspector panel"
"Multi-select editing lockout","Disable value inputs when >1 keyframe selected.",Low,2,"area:inspector,type:feature,milestone:M3","Inspector panel"
"Timeline & keyframes","Epic: transport, ruler, lanes, keyframes.",High,,"epic,area:timeline",
"Transport controls","Back-to-start, play/pause, loop toggle, current-time / duration readout.",High,3,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Duration input","Number 0.5-12s; clamps current time.",Medium,2,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Ruler + adaptive ticks","Tick step scales with duration; time labels.",High,2,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Scrub playhead","Click/drag ruler sets time; playhead line synced.",High,2,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Track lanes per active property","Label, keyframe count, add-keyframe button, lane background.",High,3,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Keyframe diamonds: render + select","Positioned by time; click selects; selected styling.",High,3,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Keyframe drag to retime","Snap to 0.05s; clamp to [0,duration]; re-sort.",High,3,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Additive / multi-select","shift/ctrl/meta toggles; drag moves whole selection.",Medium,3,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Marquee box-selection","Drag box over diamonds; additive with modifier.",Medium,3,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Timeline scroll sync","Horizontal keys scroll syncs ruler; vertical scroll for many lanes.",Low,2,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Timeline empty state","Select a shape to view tracks.",Medium,1,"area:timeline,type:feature,milestone:M3","Timeline & keyframes"
"Easing editor","Epic: bezier editor + presets.",Medium,,"epic,area:easing",
"Easing section + label","Collapsible; shows preset name or Custom.",Low,1,"area:easing,type:feature,milestone:M4","Easing editor"
"Interactive bezier curve","2 draggable control points; curve + handle lines; clamped (y -0.6..1.6 overshoot).",High,3,"area:easing,type:feature,milestone:M4","Easing editor"
"Preset buttons","Linear/Ease/In/Out/In-Out/Back/Overshoot; active highlight.",Medium,2,"area:easing,type:feature,milestone:M4","Easing editor"
"cubic-bezier(...) readout","Live text of current curve.",Low,1,"area:easing,type:feature,milestone:M4","Easing editor"
"Apply ease to selection","Writes ease to all selected keyframes.",High,2,"area:easing,type:feature,milestone:M4","Easing editor"
"Easing single/multi/none states","Curve for one key; presets-only for many; prompt for none.",Medium,2,"area:easing,type:feature,milestone:M4","Easing editor"
"Playback engine","Epic: rAF loop + transport semantics.",High,,"epic,area:playback",
"rAF tick loop","Advance time by clamped dt; apply at current time.",High,2,"area:playback,type:feature,milestone:M3","Playback engine"
"Play/pause/stop/loop semantics","Restart from 0 past end; loop wraps; stop resets.",High,2,"area:playback,type:feature,milestone:M3","Playback engine"
"Scrub <-> playback sync","Transient playhead state (shallowRef).",High,2,"area:playback,type:feature,milestone:M3","Playback engine"
"Keyboard shortcuts","Epic: transport + edit shortcuts.",Medium,,"epic,area:playback",
"Space=play/pause, arrows=nudge +/-0.05s","Ignore while typing in inputs.",Medium,2,"area:playback,type:feature,milestone:M3","Keyboard shortcuts"
"Delete/Backspace = delete selected keyframes","Remove selection.",Medium,1,"area:playback,type:feature,milestone:M3","Keyboard shortcuts"
"Export","Epic: CSS + GSAP output.",High,,"epic,area:export",
"Export modal","Code panel + header copy.",High,2,"area:export,type:feature,milestone:M5","Export"
"CSS @keyframes codegen (demo parity)","Per element: transform-box fill-box, transform-origin center, stops at keyframe times for transform/opacity/fill/draw/filters.",High,3,"area:export,type:feature,milestone:M5","Export"
"CSS export easing fidelity (adaptive)","Per-segment cubic-bezier for bezier eases; per-frame baking for elastic/bounce/back (plan 5). The real export.",High,5,"area:export,type:feature,milestone:M5","Export"
"Copy to clipboard + feedback","Copy CSS -> Copied check.",High,1,"area:export,type:feature,milestone:M5","Export"
"GSAP code export","Serialize tracks to runnable gsap.timeline() (plan; not in demo).",Low,3,"area:export,type:feature,milestone:M5","Export"
"GIF/video render","Demo is a stub; real implementation deferred to v2.",,3,"area:export,type:feature,milestone:M6","Export"
"State management","Epic: Pinia document + transient tier + history.",High,,"epic,area:state",
"useDocumentStore (Pinia)","Document model + actions: add/put/update/move/delete keyframe(s), add/remove prop, selectLayer, setDuration.",High,3,"area:state,type:feature,milestone:M1","State management"
"Transient state tier","Playhead time + live drag deltas in shallowRef/refs; commit to store on drag-end.",High,2,"area:state,type:feature,milestone:M3","State management"
"Undo/redo architecture","Decide command vs snapshot/patch in Phase 0; UI lands M6.",High,3,"area:state,type:feature,milestone:M0","State management"
"Undo/redo UI + wiring","Hook history into store mutations + UI.",Low,3,"area:state,type:feature,milestone:M6","State management"
"Autosave to IndexedDB/localStorage","Survive refresh.",Low,2,"area:state,type:feature,milestone:M6","State management"
"Topbar & menus","Epic: branding + menu.",Medium,,"epic,area:canvas",
"Branding/logo + title","Kinetic mark + title.",Low,1,"area:canvas,type:feature,milestone:M1","Topbar & menus"
"Menu dropdown -> Import / Export","With click-away backdrop.",Medium,2,"area:canvas,type:feature,milestone:M1","Topbar & menus"
"Polish & micro-interactions","Epic: the motion-design flex.",Low,,"epic,area:polish",
"Hover/active states across controls","Buttons, rows, menus per demo styling.",Low,3,"area:polish,type:feature,milestone:M4","Polish & micro-interactions"
"Transitions & empty/loading states","Tasteful motion throughout.",Low,3,"area:polish,type:feature,milestone:M4","Polish & micro-interactions"
"Selection outline + keyframe-present dots polish","Refine selected/active styling.",Low,2,"area:polish,type:feature,milestone:M4","Polish & micro-interactions"
"Testing & QA","Epic: unit + e2e + coverage.",High,,"epic,area:testing",
"Unit: valueAt, easing solver, color mix, sampling","Golden values.",High,3,"area:testing,type:chore,milestone:M0","Testing & QA"
"Unit: CSS serializer (golden file)","Snapshot the generated CSS.",Medium,3,"area:testing,type:chore,milestone:M5","Testing & QA"
"E2E: import -> select -> keyframe -> scrub -> export","Playwright happy path.",Medium,3,"area:testing,type:chore,milestone:M3","Testing & QA"
"Coverage >= 80% weighted to core/serializers","Enforce in CI.",Medium,2,"area:testing,type:chore,milestone:M5","Testing & QA"
